,iata_code,manufacturer,model,iata_group,iata_category,icao_code,nb_engines,aircraft_type
427,S76,Sikorsky,S-76,S76,H,S76,,H
428,SF3,Saab,SF340A/B,SF3,2T,SF34,2.0,T
429,SFB,Saab,SF340B,SF3,2T,SF34,2.0,T
430,SFF,Saab,SF340 Freighter,SFF,2T,SF34,2.0,T
431,SH3,Shorts,SD.330,SH3,2T,SH33,2.0,T
432,SH6,Shorts,SD.360,SH6,2T,SH36,2.0,T
433,SHB,Shorts,SC-5 Belfast,,,,,
434,SHS,Shorts,SC-7 Skyvan,SHS,2T,SC7,2.0,T
435,SSC,Aerospatiale / SNIAS,Concorde,,,,,
436,SU1,Sukhoi,Superjet 100,,,,,
437,SU7,Sukhoi,Superjet 100-75,SU1,2J,ZZZZ,2.0,J
438,SU9,Sukhoi,Superjet 100-95,SU1,2J,SU95,2.0,J
439,SWF,Fairchild-Swearingen,SA226 Freighter,SWF,2T,*,2.0,T
440,SWM,Fairchild-Swearingen,SA26 / SA226 / SA227 Metro / Merlin,SWM,2T,*,2.0,T
441,SY8,Shaanxi,Y-8,SY8,4T,AN12,4.0,T
442,T20,Tupolev,Tu-204 / Tu-214,T20,2J,T204,2.0,J
443,T2F,Tupolev,Tu-204 Freighter,T2F,2J,T204,2.0,J
444,T34,Tupolev,Tu-334,T34,2J,T334,2.0,J
445,TBM,DAHER-SOCATA,TBM-700,TBM,1T,TBM7,1.0,T
446,TRN,Surface Equipment,Train,TRN,S,0000,,S
447,TU3,Tupolev,Tu-134,TU3,2J,T134,2.0,J
448,TU5,Tupolev,Tu-154,TU5,3J,T154,3.0,J
449,VCV,Vickers,Viscount,,,,,
450,VCX,Vickers,VC-10,,,,,
451,WWP,IAI,1124 Westwind,WWP,2J,WW24,2.0,J
452,YK2,Yakovlev / Jakovlev,Yak 42,YK2,3J,YK42,3.0,J
453,YK4,Yakovlev / Jakovlev,Yak 40,YK4,3J,YK40,3.0,J
454,YN2,HAMC / Harbin,Y12,YN2,2T,Y12,2.0,T
455,YN7,Xian,Yunshuji Y7,YN7,2T,AN24,2.0,T
456,YS1,NAMC,YS-11,YS1,2T,YS11,2.0,T
